X,Y,fid,gis_id,srcid_t,srcid_i,edit_date,ftype,subtype,loc_type,loc_meth,street_tag,prcl_pin,address,city,state,zipcode,x_coord,y_coord,name,alias1,nghbrhd,cncldst,stfid_blk,plcdst_no,plcdst,usng,cntct_nme,cntct_phn,cntct_dpt,globalid,url
-8522867.445,4769142.202,1,27_1, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,5936A004,4509  BELAIR ROAD,Baltimore,MD,21206,1436169.848,606298.6102,410, ,Frankford,2,2.45103E+14,4,NORTHEASTERN,18S UJ 65353 54630, , , ,{B539CABF-622F-4C6E-9AE2-5C648EBBA530}, 
-8525893.751,4762539.104,2,27_2, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1830009,1919  FLEET ST,Baltimore,MD,21231,1428554.971,589545.9319,1919, ,Fells Point,1,2.45102E+13,2,SOUTHEASTERN,18S UJ 62920 49577, , , ,{319B2500-6082-4DD9-A866-66308527E3B2}, 
-8524407.63,4762175.38,3,27_3, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1878005,2844  HUDSON ST,Baltimore,MD,21224,1432338.038,588642.06,SAUTE, ,Canton,1,2.45101E+13,2,SOUTHEASTERN,18S UJ 64067 49276, , , ,{57842273-D14B-4D28-A810-A645F018BED4}, 
-8530754.024,4770074.211,4,27_4, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,3563006,3998  ROLAND AVE,Baltimore,MD,21211,1416119.971,608568.9745,#1 CHINESE KITCHEN, ,Hampden,14,2.45101E+14,5,NORTHERN,18S UJ 59260 55457, , , ,{2701DA61-1457-496D-8743-A80949B80232}, 
-8533280.759,4762362.837,5,27_5, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,2174A001,2481  frederick ave,Baltimore,MD,21223,1409773.532,589021.8779,#1 chinese restaurant, ,Millhill,9,2.45102E+14,8,SOUTHWESTERN,18S UJ 57194 49544, , , ,{D51ACB6C-38C9-4C55-B221-FE47CE0D7C05}, 
-8526087.912,4767728.877,6,27_6, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,4128031,2722  HARFORD RD,Baltimore,MD,21218,1428002.427,602683.4772,19TH HOLE, ,Clifton Park,14,2.45108E+13,4,NORTHEASTERN,18S UJ 62840 53584, , , ,{47F28D66-FE1E-4B2B-BF67-F952B94567B5}, 
-8525014.166,4764415.737,7,27_7, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1641026,2510  MCELDERRY ST,Baltimore,MD,21205,1430769.724,594308.2182,3 KINGS, ,McElderry Park,13,2.45107E+13,2,SOUTHEASTERN,18S UJ 63627 51013, , , ,{ABCC71B6-7907-4626-9296-8A0708924D8A}, 
-8529597.931,4767541.657,8,27_8, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,3644087,2701  MILES AVE,Baltimore,MD,21211,1419083.921,602171.1662,"3 MILES HOUSE, INC.", ,Remington,7,2.45101E+14,5,NORTHERN,18S UJ 60120 53488, , , ,{29F44A7F-8A7E-4AF9-A9CE-7390418AC41E}, 
-8525024.92,4764574.426,9,27_9, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1625063,2518 E MONUMENT ST,Baltimore,MD,21205,1430740.543,594709.895,3 W'S TAVERN, ,McElderry Park,13,2.45107E+13,2,SOUTHEASTERN,18S UJ 63621 51136, , , ,{3769007C-E5B6-494D-AC08-6FEDE78C63BA}, 
-8526130.493,4762967.307,10,27_10, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1762001,300 S ANN ST,Baltimore,MD,21231,1427948.149,590627.6323,300 SOUTH ANN STREET, ,Upper Fells Point,1,2.45102E+13,2,SOUTHEASTERN,18S UJ 62743 49911, , , ,{CFFCE3C2-9521-4EC6-8D18-31CC7AF04F22}, 
-8525792.346,4754103.372,11,27_11, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,7224001,1600  HAZEL ST,Baltimore,MD,21226,1428909.155,568174.8849,438 CLUB, ,Curtis Bay,10,2.45103E+14,9,SOUTHERN,18S UJ 62885 43063, , , ,{453060BF-56B5-4E2E-9042-9D11B6FE9D7B}, 
-8536698.349,4771215.788,12,27_12, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,4510007,5302  REISTERSTOWN RD,Baltimore,MD,21215,1401006.407,611401.4545,5-MILE HOUSE, ,Woodmere,5,2.45103E+14,6,NORTHWESTERN,18S UJ 54674 56422, , , ,{27E5ABD1-E8BA-4421-A2F3-8D50F927F7EF}, 
-8525151.4,4762375.469,13,27_13, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1853014,743 S MONTFORD ST,Baltimore,MD,21224,1430444.456,589140.0847,"743 S. MONTFORD,INC.", ,Canton,1,2.45101E+13,2,SOUTHEASTERN,18S UJ 63493 49441, , , ,{6713EEB1-399F-405D-9824-F371C29DF85F}, 
-8521292.927,4762040.109,14,27_14, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,6820043,5625  O'DONNELL ST,Baltimore,MD,21224,1440259.821,588337.4671,A & W RESTAURANT, ,Pulaski Industrial Area,1,2.45103E+14,2,SOUTHEASTERN,18S UJ 66479 49130, , , ,{54F34328-9F74-4DA6-A49D-F93D530D4BEA}, 
-8528412.27,4763248.065,15,27_15, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,650004,219 E BALTIMORE ST,Baltimore,MD,21202,1422143.449,591313.3041,A TASTE OF CHINA, ,Downtown,11,2.45104E+13,1,CENTRAL,18S UJ 60979 50159, , , ,{22E6C2B0-D196-497A-B020-3FE11A75D32B}, 
-8529045.601,4765222.032,16,27_16, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,482003,58 W BIDDLE STREET,Baltimore,MD,21201,1420512.244,596304.7531,ABACROMBIE FINE FOODS, ,Mid-Town Belvedere,11,2.45101E+14,1,CENTRAL,18S UJ 60515 51691, , , ,{FFB81A57-5FD3-4EA3-8E2F-35BD543F3D90}, 
-8525902.641,4764530.656,17,27_17, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1620001,2003 E MONUMENT ST,Baltimore,MD,21205,1428509.688,594588.9372,ABC SUSHI, ,Middle East,13,2.45106E+13,3,EASTERN,18S UJ 62941 51114, , , ,{430A670C-FCB5-4715-881E-DFEBA9047866}, 
-8522221.017,4762871.48,18,27_18, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,6553001,4718  EASTERN AVE,Baltimore,MD,21224,1437889.606,590431.3497,ACROPOLIS RESTAURANT, ,Greektown,2,2.45103E+14,2,SOUTHEASTERN,18S UJ 65770 49784, , , ,{497F9D31-F5B6-4B17-A6CB-D764D942F20B}, 
-8526344.752,4762159.286,19,27_19, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1820001,818 S BROADWAY,Baltimore,MD,21231,1427412.485,588578.8941,ADMIRAL FELL INN, ,Fells Point,1,2.45102E+13,2,SOUTHEASTERN,18S UJ 62566 49290, , , ,{EAE5A1BF-E507-434D-A739-FA635B5B02B9}, 
-8532950.126,4759901.583,20,27_20, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,7779006A,2522  WASHINGTON BLVD,Baltimore,MD,21230,1410637.967,582791.0764,AG & HARP'S, ,Morrell Park,10,2.45103E+14,8,SOUTHWESTERN,18S UJ 57416 47640, , , ,{58EC844D-E3C1-454D-8DF8-54882A2BC3A5}, 
-8519433.665,4758618.93,21,27_21, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,6991012,6500  RIVERVIEW AVE,Baltimore,MD,21222,1445032.109,579695.3523,"AIRPORT BAR & GRILL, INC.", ,Saint Helena,1,2.45103E+14,2,SOUTHEASTERN,18S UJ 67874 46465, , , ,{1FD59158-02D6-4E6A-B3B2-397565C9081E}, 
